S. No.,Power,Scanning speed ,Pulse width,Frequency,Color,R,G,B,L,a,b,Special,,,,,,,,,,,
77,9,1167,16,300,Xanadu Green,107,121,106,49.3,-8.29,6.477,green,,,,,,,,,,,
78,9,1278,16,300,Sirocco Green,105,121,108,49.2,-8.65,5.14,green,,,,,,,,,,,
79,9,1389,16,300,Sirocco Green,99,117,105,47.49,-9.24,4.39,green,,,,,,,,,,,
80,9,1500,16,300,Sirocco Green,98,114,106,46.54,-7.7,2.42,green,,,,,,,,,,,
81,9,500,18,300,Gunsmoke Grey,124,125,119,52.16,-1.55,3.13,grey,,,,,,,,,,,
82,9,611,18,300,Gunsmoke Grey,123,124,119,51.79,-1.36,2.588,grey,,,,,,,,,,,
83,9,722,18,300,Concord Grey,131,128,123,53.7,0.17,3.1,grey,,,,,,,,,,,
84,9,833,18,300,Hurricane Brown,132,124,121,52.62,2.48,2.72,brown,,,,,,,,,,,
85,9,944,18,300,Americano Brown,133,120,112,51.37,3.57,6.2,brown,,,,,,,,,,,
86,9,1056,18,300,Hurricane Brown,140,121,114,52.35,6.12,6.53,brown,,,,,,,,,,,
87,9,1167,18,300,Squirrel Brown,140,121,104,52.12,4.53,12.03,brown,,,,,,,,,,,
88,9,1278,18,300,Americano Brown,137,118,108,51.1,5.67,8.22,brown,,,,,,,,,,,
89,9,1389,18,300,Squirrel Brown,143,126,112,53.95,4.13,10,brown,,,,,,,,,,,
90,9,1500,18,300,Squirrel Brown,146,123,108,53.34,6.446,11.5,brown,,,,,,,,,,,
91,9,500,20,300,Gunsmoke Grey,125,127,121,52.86,-1.93,2.99,grey,,,,,,,,,,,
92,9,611,20,300,Gunsmoke Grey,126,127,122,52.97,-1.355,2.5767,grey,,,,,,,,,,,
93,9,722,20,300,Concord Grey,131,129,125,54.03,-0.02,2.423,grey,,,,,,,,,,,
94,9,833,20,300,Concord Grey,129,124,120,52.33,1.13,2.85,grey,,,,,,,,,,,
95,9,944,20,300,Hurricane Brown,139,125,122,53.56,4.8,3.57,brown,,,,,,,,,,,
96,9,1056,20,300,Hurricane Brown,140,123,116,52.95,5.3,6.21,brown,,,,,,,,,,,
97,9,1167,20,300,Americano Brown,140,120,112,52.04,6.37,7.24,brown,,,,,,,,,,,
98,9,1278,20,300,Squirrel Brown,145,123,111,53.31,6.5,9.7,brown,,,,,,,,,,,
99,9,1389,20,300,Squirrel Brown,145,122,99,52.77,5.3,15.91,brown,,,,,,,,,,,
100,9,1500,20,300,Squirrel Brown,142,124,104,53.13,3.63,13.47,brown,,,,,,,,,,,
