S. No.,Power,Scanning speed ,Pulse width,Frequency,Color,R,G,B,L,a,b,Special,,,,,,,,,,,
64,9,1000,35,200,Rolling stone Green,120,122,121,51.03,-0.95,0.27,green,,,,,,,,,,,
65,9,1000,35,250,Monsoon Grey,124,119,122,50.55,2.5,-0.97,grey,,,,,,,,,,,
66,9,1000,35,300,Empress grey,130,114,117,49.57,6.77,0.63,grey,,,,,,,,,,,
67,9,1000,35,350,Bazaar Brown,136,115,112,50.29,7.67,4.7,brown,,,,,,,,,,,
68,9,1000,35,400,Ferra Brown,130,109,106,47.91,7.75,4.75,brown,,,,,,,,,,,
69,9,1000,35,450,Salt Box Violet,105,99,103,42.62,3.18,-1.42,violet,,,,,,,,,,,
70,9,1000,35,500,Zambezi Brown,103,92,90,40.04,4.05,2.76,brown,,,,,,,,,,,
71,9,1000,40,50,Quincy Brown,111,82,69,37.56,10.16,12.34,brown,,,,,,,,,,,
72,9,1000,40,100,Buccaneer Red,107,79,76,36.44,11.28,6.35,red,,,,,,,,,,,
73,9,1000,40,150,Rolling stone Green,111,121,120,49.99,-3.93,-0.73,green,,,,,,,,,,,
74,9,1000,40,200,Rolling stone Green,112,122,121,50.38,-3.92,-0.74,green,,,,,,,,,,,
75,9,1000,40,250,Rolling stone Green,111,119,121,49.44,-2.56,-2.14,green,,,,,,,,,,,
76,9,1000,40,300,Empress grey,127,112,115,48.68,6.4,0.47,grey,,,,,,,,,,,
77,9,1000,40,350,Empress grey,123,108,113,47.14,6.82,-0.62,grey,,,,,,,,,,,
78,9,1000,40,400,Empress grey,118,102,105,44.76,6.91,0.65,grey,,,,,,,,,,,
79,9,1000,40,450,Flint Green,110,106,95,44.87,-0.53,6.73,green,,,,,,,,,,,
80,9,1000,40,500,Chicago Grey,94,99,90,41.28,-3.81,4.44,grey,,,,,,,,,,,
81,9,1000,45,50,Quincy Brown,100,71,65,33.13,11.5,8.51,brown,,,,,,,,,,,
82,9,1000,45,100,Congo Brown,102,74,70,34.32,11.27,7.05,brown,,,,,,,,,,,
83,9,1000,45,150,Sirocco Green,111,122,116,50.17,-5.34,1.87,green,,,,,,,,,,,
84,9,1000,45,200,Rolling stone Green,112,122,121,50.38,-3.92,-0.74,green,,,,,,,,,,,
85,9,1000,45,250,Nevada Grey,104,118,119,48.55,-4.96,-2.32,grey,,,,,,,,,,,
86,9,1000,45,300,Empress grey,123,112,116,48.33,5.03,-0.67,grey,,,,,,,,,,,
87,9,1000,45,350,Empress grey,122,110,112,47.57,5.06,0.58,grey,,,,,,,,,,,
88,9,1000,45,400,Scorpion Grey,109,103,105,44.19,2.75,-0.28,grey,,,,,,,,,,,
89,9,1000,45,450,Zambezi Brown,109,101,98,43.42,2.58,2.83,brown,,,,,,,,,,,
90,9,1000,45,500,Storm Dust Grey,101,97,86,41.2,-0.53,6.84,grey,,,,,,,,,,,
91,9,1000,50,50,Quincy Brown,98,71,64,32.86,10.46,8.73,brown,,,,,,,,,,,
92,9,1000,50,100,Buccaneer Red,117,78,81,37.52,16.91,4.93,red,,,,,,,,,,,
93,9,1000,50,150,Sirocco Green,114,125,119,51.35,-5.32,1.87,green,,,,,,,,,,,
94,9,1000,50,200,Rolling stone Green,111,121,123,50.08,-3.28,-2.38,green,,,,,,,,,,,
95,9,1000,50,250,Raven Blue,108,117,122,48.66,-2.27,-3.91,blue,,,,,,,,,,,
96,9,1000,50,300,Express Grey,122,111,115,47.93,5.044,-0.67,grey,,,,,,,,,,,
97,9,1000,50,350,Express Grey,119,107,111,46.42,5.47,-0.52,grey,,,,,,,,,,,
98,9,1000,50,400,Dim Grey,105,105,105,44.41,0,0,grey,,,,,,,,,,,
99,9,1000,50,450,Flint Green,110,104,92,44.22,0.11,7.6,green,,,,,,,,,,,
100,9,1000,50,500,Storm Dust Grey,100,99,85,41.67,-2.31,8.1,grey,,,,,,,,,,,
1,3,200,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
2,3,344,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
3,3,489,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
4,3,633,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
5,3,778,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
6,3,922,5,300,No Color,0,0,0,0,0,0,No Color,,,,,,,,,,,
